Per call time  -  Saturday 12 @ 14:03

  calls      time  function
    105    0.0000  <frozen importlib._bootstrap_external>:172(_path_isabs)
      8    0.0000  home_widgets.py:64(add_task_item)
    885    0.0000  widget.py:1563(get_disabled)
     90    0.0000  <frozen importlib._bootstrap_external>:666(_classify_pyc)
   1460    0.0000  _parser.py:256(match)
     47    0.0000  home_widgets.py:135(_update_bg)
      6    0.0000  base_screen.py:27(__init__)
      1    0.0000  metrics.py:402(reset_dpi)
   1721    0.0000  configparser.py:335(before_get)
      1    0.0000  home_screen_utils.py:19(update_task_display)
    270    0.0000  <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     57    0.0000  scrollview.py:603(_update_effect_x_bounds)
    814    0.0000  <frozen importlib._bootstrap>:491(_verbose_message)
    165    0.0000  parser.py:802(get_bases)
     94    0.0000  textinput.py:2638(_get_cursor_visual_height)
     26    0.0000  home_widgets.py:89(adjust_height)
      3    0.0000  __init__.py:1(<module>)
      1    0.0000  PalmImagePlugin.py:87(build_prototype_image)
     24    0.0000  textinput.py:2750(_split_smart)
      2    0.0000  fields.py:152(__init__)
     19    0.0000  animation.py:131(__init__)
    280    0.0000  enum.py:785(__delattr__)
     48    0.0000  <frozen ntpath>:236(split)
     46    0.0000  image.py:384(on_texture)
    399    0.0000  <frozen importlib._bootstrap_external>:140(_path_stat)
    101    0.0000  kinetic.py:123(apply_distance)
      5    0.0000  home_widgets.py:116(__init__)
     86    0.0000  animation.py:161(stop_all)
     92    0.0000  <frozen ntpath>:179(splitroot)
     17    0.0000  _strptime.py:293(_strptime)
     19    0.0000  _datetime.py:143(aware_now)
      9    0.0000  __init__.py:389(load)
    103    0.0000  <frozen importlib._bootstrap>:806(module_from_spec)
     63    0.0000  scrollview.py:611(_update_effect_y_bounds)
      6    0.0000  containers.py:30(__init__)
     34    0.0000  context.py:67(push)
    507    0.0000  animation.py:619(out_quart)
     34    0.0000  widget.py:895(get_root_window)
     27    0.0000  scrollview.py:519(_set_viewport_size)
     38    0.0000  buttons.py:137(_update)
